No,Istilah,Definisi
791,malpractice,"kealpaan profesi, malpraktek."
792,mampu - kemampuan aset/asset coverage,"kemampuan aset perusahaan untuk membayar kembali utang dan kewajiban lain dari pendapatan yang diterima, yang tercermin dalam nisbah (rasio) aktiva terhadap utang jangka panjang."
793,mandatory,"1. orang atau pemerintah yang mendapatkan amanat, pemangku amanat; mandataris; 2. bersifat perintah atau penugasan, wajib."
794,manifes/manifest,daftar muatan kapal yang diperlukan untuk pemeriksaan bea cukai.
795,mark down,penurunan harga jual suatu barang.
796,mark up,"dalam konteks bisnis, hal ini menunjukkan terjadinya pembengkakan nilai atau harga proyek atau penggelembungan anggaran untuk mendapatkan pinjaman dari bank melebihi kebutuhan."
797,masa bebas pajak/tax holiday,perangsang investasi berupa pembebasan pajak perseroan dan/atau pajak dividen untuk jangka waktu tertentu (antara 2 sampai 6 tahun) berdasarkan Undang-Undang Nomor 1 tahun 1967 dan Undang-Undang Nomor 6 tahun 1968.
798,masa tenggang/grace periode,kelonggaran waktu dalam pembayaran kembali angsuran pinjaman pokok dan/atau bunga yang disepakati oleh kedua pihak; masa tenggang ini diperkirakan cukup untuk mencapai tingkat produksi yang memungkinkan bagi dimulainya pembayaran sebagian pinjaman dan bunga tanpa berpengaruh pada modal kerja perusahaan.
799,mata uang/currency,uang beredar dalam bentuk uang kertas dan uang logam yang merupakan alat pembayaran yang sah.
800,matematis,"hal-hal yang berkaitan dengan angka, seperti perhitungan dengan nilai."
801,materialitas,"besarnya informasi akuntansi yang apabila terjadi penghilangan atau salah saji, dilihat dari keadaan yang melingkupinya, mungkin dapat mengubah atau mempengaruhi pertimbangan orang yang meletakkan kepercayaan atas informasi tersebut."
802,matrealitas,suatu kondisi tidak tersajikannya atau salah saji suatu informasi akan mempengaruhi keputusan atau penilaian pengguna yang dibuat atas dasar laporan keuangan. Matrealitas tergantung pada hakikat atau besarnya pos atau kesalahan yang dipertimbangkan dari keadaan khusus dimana kekurangan atau salah saji terjadi.
803,memorandum,1. catatan singkat untuk membantu mengingat suatu transaksi atau kejadian lain; 2. nota atau catatan diplomatik.
804,memorandum of understanding (MoU),"kesepakatan, surat pernyataan tentang saling pengertian yang biasa dikeluarkan setelah tercapainya kesepakatan antar dua pihak atau lebih mengenai sesuatu hal."
805,menteri/pimpinan lembaga,pejabat yang bertanggung jawab atas pengelolaan keuangan kementerian negara/lembaga yang bersangkutan.
806,merger,penggabungan atau peleburan dua atau lebih perusahaan secara bersama-sama.
807,merger bank/bank merger,"penggabungan dua bank atau lebih, dengan cara tetap mempertahankan berdirinya salah satu bank dan membubarkan bank-bank lainnya dengan atau tanpa melikuidasi."
808,merger horisontal/horizontal merger,"bentuk penggabungan dua atau lebih perusahaan, baik yang memproduksi barang maupun jasa menjadi satu perusahaan."
809,merk,"merek, tanda yang berupa gambar, nama, kata, huruf-huruf, angka-angka, susunan warna atau kombinasi dari unsur-unsur tersebut yang memiliki daya pembeda dan digunakan dalam kegiatan perdagangan barang atau jasa [vide: UU No. 15/2001, Pasal 1 angka 1]."
810,merk perusahaan/product mark,merek yang dilekatkan pada produk oleh produsennya.
811,milik - kepemilikan tunggal/sole proprietorship,"bentuk kepemilikan perusahaan yang secara mutlak dimiliki dan dikendalikan secara keseluruhan oleh satu orang; di Indonesia dikenal dengan perusahaan dalam bentuk firma atau CV; pada Undang-Undang Nomor 1 Tahun 1995 tentang Perseroan Terbatas, kepemilikan tunggal atas suatu perusahaan yang berbentuk perseroan terbatas dilarang."
812,milik - pemilik barang sewa/lessor,orang yang menjadi pemilik barang dalam perjanjian sewa beli (leasing).
813,milik - pemilik/proprietor,orang yang memiliki suatu usaha.
814,milik - pemilikan kembali/repossession,"penyitaan atas agunan tambahan dalam rangka mengamankan suatu pinjaman jika debitur lalai melunasi kewajibannya; hal itu dilakukan apabila segala upaya penagihan telah gagal; namun, biasanya taksiran nilai agunan tambahan ditetapkan lebih rendah daripada nilai pasar sehingga debitur dapat menuntut kembali barang yang telah dijadikan agunan tambahan tersebut setelah melalui keputusan pengadilan."
815,misrepresentation,"penyajian yang salah, memberikan penjelasan dengan data-data yang salah, untuk maksud yang kurang baik."
816,mitra aktif/active partner,peserta dalam persekutuan komanditer yang mempunyai wewenang kepengurusan dan bertanggung jawab secara tanggung renteng dengan kekayaan pribadi kepada pihak ketiga.
817,mitra pasif/pasive partner,peserta dalam persekutuan komanditer yang tidak mempunyai wewenang kepengurusan dan tanggung jawabnya hanya terbatas sampai jumlah uang yang dimasukkan dalam persekutuan.
818,modal berwujud/tangible net worth,modal saham setelah dikurangi muhibah (good will) dan aktiva tak-berwujud lainnya yang merupakan indikasi kemampuan meminjam suatu bank atau lembaga tabungan.
819,modal dasar/authorized capital,jumlah modal yang disebutkan dalam anggaran dasar perseroan terbatas yang sudah mendapatkan pengesahan dari instansi yang berwenang.
820,modal disetor/paid up capital,"modal yang telah disetor secara efektif oleh pemiliknya; bagi bank yang berbadan hukum koperasi, modal disetor terdiri atas simpanan wajib dan modal penyertaan sebagaimana diatur dalam Undang-Undang Nomor 25 Tahun 1992 tentang Perkoperasian."
821,modal ditempatkan/issued capital; subscribed,bagian modal dasar suatu perseroan terbatas yang tertera dalam anggaran dasar yang merupakan kewajiban para pemegang sahamnya dan telah disanggupi untuk disetor.
822,modal pinjaman/loan capital,"utang yang didukung oleh instrumen atau warkat yang memiliki sifat seperti modal dan mempunyai ciri-ciri: a. tidak dijamin oleh bank yang bersangkutan, dipersamakan dengan modal yang telah dibayar penuh; b. tidak dapat dilunasi atau ditarik atas inisiatif pemilik tanpa persetujuan Bank Indonesia; c. mempunyai kedudukan yang sama dengan modal dalam hal jumlah kerugian bank melebihi laba ditahan dan cadangan-cadangan yang termasuk dalam modal inti meskipun bank belum dilikuidasi; dan d. pembayaran bunga dapat ditangguhkan apabila bank dalam keadaan rugi atau labanya tidak mendukung untuk membayar bunga tersebut; pengertian modal pinjaman tersebut termasuk cadangan modal yang berasal dari penyetoran modal yang efektif oleh pemilik yang belum didukung oleh modal dasar yang mencukupi, dan tidak termasuk instrumen utang (debt instrument) pasar modal beserta semua derivatifnya; untuk bank yang berbadan hukum koperasi, pengertian modal pinjaman sesuai dengan ketentuan yang diatur dalam Undang-Undang Nomor 25 Tahun 1992 tentang Perkoperasian; dulu disebut modal kuasi."
823,modal saham/capita/stack,modal perusahaan yang berasal dari penjualan saham-saham yang dikeluarkan oleh perusahaan; dana yang diperoleh dari hasil penjualan saham ini adalah menjadi modal pokok dari perusahaan.
824,modal tetap/fixed capital,"modal perusahaan yang tertanam dalam harta tetap, hak paten, dan muhibah (goodwill), tanah dan mesin-mesin, serta saham dan surat berharga lainnya."
825,modal ventura/venture capital,"penyertaan modal ke dalam suatu perusahaan pasangan usaha untuk (a) mengembangkan penemuan baru, (b) mengembangkan perusahaan yang pada tahap awal usahanya mengalami kesulitan dana, (c) membantu perusahaan yang berada pada tahap pengembangan, (d) membantu perusahaan yang berada pada tahap kemunduran usaha, (e) mengembangkan proyek penelitian dan rekayasa, (f) mengembangkan berbagai penggunaan teknologi baru dan alih teknologi baik dari dalam maupun luar negeri, dan (g) membantu pengalihan pemilikan perusahaan penyertaan modal dalam setiap perusahaan pasangan usaha bersifat sementara dan tidak boleh melebihi jangka waktu sepuluh tahun penarikan kembali penyertaan modal (divestasi) oleh perusahaan modal ventura dalam segala bentuknya dilaporkan kepada Menteri Keuangan selambat-lambatnya tiga bulan setelah dilaksanakan."
826,money laundring,"pencucian uang, kejahatan yang dilakukan oleh perorangan atau korporasi dalam batas wilayah negara atau lintas batas wilayah negara berupa tindak pidana korupsi, penyuapan, penyelundupan imigrasi, perbankan,perdagangan gelap narkotika dan psikotropika, perdagangan budak, wanita dan anak, perdagangan senjata gelap, penculikan, terorisme, pencurian, penggelapan dan berbagai kejahatan krah putih, dengan mengupayakan agar harta kekayaan yang diperoleh dari kejahatan tersebut masuk ke dalam sistem perbankan agar tidak dapat dilacak [vide: UU No. 15/2005, UU No. 31/1999, UU No. 20/2001]."
827,monopoli/monopoly,keadaan pasar barang tertentu yang penawarannya dikuasai oleh seorang atau sekelompok penjual yang menguasai atau menentukan tingkat harga atau jumlah barang atau jasa.
828,monopsoni/monopsony,keadaan pasar barang tertentu yang pembelinya hanya dilakukan oleh seorang atau sekelompok pembeli sehingga dapat menentukan tingkat harga.
829,moratorium/moratorium,"penundaan waktu jatuh tempo wesel, utang-utang, dan kewajiban lain yang diputuskan oleh pemerintah terhadap kreditur karena adanya krisis keuangan; penundaan atas suatu tindakan atau proses."
830,mortgage/gadai benda tetap,sama seperti hipotik atau hak tanggungan benda tetap untuk pelunasan suatu hutang.
831,nasabah debitur,1. nasabah debitur; 2. nasabah yang memperoleh fasilitas kredit atau pembiayaan berdasarkan Prinsip Syariah atau yang dipersamakan dengan itu berdasarkan perjanjian bank dengan nasabah yang bersangkutan nasabah yang menempatkan dananya di bank dalam bentuk simpanan berdasarkan perjanjian bank dengan nasabah yang bersangkutan.
832,nasionalisasi/nationalization,pengambilalihan dan pengaturan kepemilikan usaha yang dimiliki swasta oleh pemerintah untuk kepentingan negara yang pelaksanaannya ditetapkan oleh putusan pemerintah.
833,national bank system,sistem perbankan nasional.
834,national income,dapat - pendapatan nasional.
835,negative covenant/janji negatif,suatu ketentuan dalam suatu perjanjian kerja atau perjanjian jual-beli dalam hal pihak pekerja atau penjual diikat dengan janji untuk tidak bersaing di suatu wilayah atau pasar yang sama.
836,negative pledge/janji pembatasan,dalam hukum perusahaan berarti janji sebuah perusahaan untuk tidak melakukan penjaminan ulang yang hanya akan menguntungkan kreditor lain.
837,negative verification/verifikasi negatif,"rumusan suatu pasal dalam sebuah kontrak atau surat tagihan yang menyatakan bahwa setelah lewat waktu tertentu tak ada keberatan atau bantahan dari nasabah atau pihak yang dituju oleh surat tersebut, maka pernyataan atau fakta yang tertera dalam surat tersebut dianggap sebagai benar."
838,negligence/kelalaian/kealpaan,"kegagalan dalam melakukan suatu kewajiban yang sebenarnya dapat dilakukan oleh orang biasa atau oleh orang yang berhati-hati; atau melakukan sesuatu yang oleh orang yang berpikiran sehat dan hati-hati tidak akan dilakukan; ketidakhati-hatian, sembrono."
839,negotiating bank,bank penegosiasi.
840,nepotisme,"setiap perbuatan penyelenggara negara secara melawan hukum yang menguntungkan kepentingan keluarganya dan atau kroninya di atas kepentingan masyarakat, bangsa, dan negara."
841,neraca,"laporan yang menyajikan informasi posisi keuangan pemerintah, yang meliputi aset, utang, dan ekuitas dana pada tanggal tertentu."
842,neraca awal,"neraca yang disusun pertama kali oleh pemerintah. Neraca Awal menunjukkan nilai aset, kewajiban, dan ekuitas dana pada tanggal neraca awal."
843,neraca konsolidasi/consolidated balance sheet,neraca yang menggambarkan aktiva dan pasiva bersih secara keseluruhan dari induk beserta anak perusahaan.
844,neraca pembayaran transfer/balance of transfer payment,"ikhtisar yang menunjukkan selisih antara penerimaan dan pengeluaran devisa yang tidak merupakan hasil pemberian jasa, seperti sumbangan, kiriman uang untuk anak sekolah atau keluarga."
845,neraca pembayaran/balance of payment,"pencatatan secara sistematis semua transaksi ekonomi antara penduduk suatu negara dan penduduk negara lain yang menimbulkan pembayaran antar negara dalam jangka waktu tertentu, biasanya satu tahun; suatu neraca pembayaran dikatakan surplus apabila terdapat kelebihan dana dan perdagangan dan investasi dibandingkan dengan kewajiban-kewajiban yang dibayarkan kepada negara lain; akibatnya, terjadi suatu apresiasi nilai mata uang negara tersebut terhadap nilai mata uang negara lain; sebaliknya, neraca pembayaran dikatakan defisit apabila terdapat kelebihan impor terhadap ekspor, suatu ketergantungan terhadap investor asing, dan terjadi penilaian terlalu tinggi terhadap mata uang negara tersebut (overvalued) negara yang mengalami neraca pembayaran defisit wajib menutupi defisit/kekurangan itu dengan mengekspor emas atau cadangan mata uang kuat (hardcurrency reserves), misalnya dollar AS, yang diterima sebagai alat pembayaran hutang luar negeri."
846,neraca perdagangan/balance of trade,ikhtisar yang menunjukkan selisih antara nilai transaksi ekspor dan impor suatu negara dalam jangka waktu tertentu.
847,neraca/balanced sheet,"ikhtisar yang menggambarkan posisi harta, kewajiban, dan modal sendiri suatu badan usaha pada saat tertentu; disebut neraca karena kenyataannya terjadi keseimbangan antara harta di satu pihak dengan kewajiban dan modal di pihak lain."
848,net asset,"kekayaan bersih suatu organisasi, perusahaan atau perorangan setelah dikurangi dengan pembayaran seluruh kewajiban atau tagihan-tagihan dalam pajak."
849,net income,penghasilan yang diperoleh dari kegiatan usaha atau pekerjaan setelah dikurangi dengan semua biaya pengeluaran dan pajak.
850,nietig,"batal, menjadi gugur atau tidak berlaku lagi; batal dengan sendirinya."
851,nietigverklaring,"dinyatakan tidak berlaku, dinyatakan gugur; nultification."
852,nilai - penilaian tingkat kesehatan bank/bank rating,"penilaian berdasarkan pendekatan kualitatif atas berbagai aspek yang berpengaruh terhadap kondisi dari perkembangan suatu bank, yaitu penilaian atas faktor-faktor permodalan, kualitas aktiva produktif manajemen, rentabilitas, dan likuiditas."
853,nilai buku/book value,"nilai aset perusahaan yang tertera pada catatan perakunan, umumnya tidak sama dengan nilai pasar; biasanya, yang dicatat adalah harga ketika aset tersebut dibeli; setiap tahun nilai aset tersebut dikurangi/didepresiasikan dan pengurangan nilai tersebut dibebankan pada pendapatan perusahaan; nilai buku adalah biaya dikurangi akumulasi depresiasi."
854,nilai intrinsik moneter,nilai asli yang melekat pada fisiknya misalnya nilai emas yang terdapat pada uang logam emas.
855,nilai jaminan/collateral value,nilai taksiran oleh bank terhadap barang jaminan yang diserahkan oleh debitur.
856,nilai jatuh tempo/materity value,sejumlah uang yang harus dibayar pada saat jatuh tempo sesuai dengan persyaratan dalam perjanjian.
857,nilai kini bersih/net present value,selisih antara nilai kini arus dana dan biaya investasi.
858,nilai kini/present value,nilai sejumlah uang yang akan diperoleh pada waktu yang akan datang dikurangi jumlah bunga yang dihitung sejak saat dilakukan perhitungan/saat ini sampai dengan uang itu akan diperoleh kembali dengan tingkat suku bunga yang berlaku.
859,nilai kompensasi/value compensated,"pembelian atau penjualan valuta asing antara dua bank devisa dengan kedua belah pihak sepakat untuk menetapkan nilai mata uang yang akan dipertukarkan menurut harga tunai (spot) pada tanggal penyelesaian; hal itu mengurangi risiko kerugian atas transaksi penukaran tersebut karena pihak pembeli setuju untuk membayar selisih kurs yang terjadi, dengan catatan setiap bank sepakat untuk tidak melakukan pembayaran kepada pihak ketiga pada tanggal yang telah diperjanjikan; transaksi dagang ini biasanya ditegaskan dengan teleks."
860,nilai kredit bermasalah/value impaired,kredit kepada debitur asing yang digolongkan sebagai kredit tak lancar karena debitur menunggak pembayaran bunga selama enam bulan atau lebih; kredit ini tidak memenuhi kriteria yang ditetapkan menurut program restrukturisasi utang dan Dana Moneter Intemasional dan terdapat sedikit harapan untuk dipenuhinya dalam waktu singkat serta telah lebih dari setahun belum memenuhi persyaratan penjadwalan ulang utang atau hanya terdapat sedikit kemungkinan untuk memperbaiki kemampuan membayar kembali dalam waktu dekat.
861,nilai likuidasi/liquidating value,nilai hasil penjualan sebagian atau seluruh harta suatu perusahaan jika harta tersebut dijual atau jika perusahaan yang bersangkutan dilikuidasi; jumlah yang disetujui untuk dibayar bagi tiap saham istimewa pada likuidasi perusahaan.
862,nilai nominal/at par nominal,"nilai yang tercantum pada surat berharga atau instrumen keuangan lain; nilai nominal saham biasa adalah nilai nominal yang ditentukan dalam anggaran dasar perusahaan dan tidak mempunyai hubungan/kaitan khusus dengan kondisi keuangan perusahaan yang bersangkutan setelah tanggal pengeluaran saham tersebut; nilai nominal surat utang, misalnya obligasi, sangat berkaitan dengan kondisi keuangan karena nilai tersebut merupakan harga yang akan dibayarkan kepada pemegang obligasi pada saat jatuh tempo."
863,nilai pakai/used value,"nilai barang atau jasa yang ditentukan berdasarkan kegunaannya secara langsung bagi pemakai, tidak atas kemampuannya untuk ditukarkan dengan barang lain."
864,nilai pari/par value,nilai nominal.
865,nilai pasar/market value,"harga barang atau surat berharga yang diindikasikan oleh penawaran pasar, yaitu harga yang tambahan barangnya dapat dijual atau dibeli; pada suatu saat, nilai pasar suatu surat berharga ditentukan oleh nilai penjualan terakhir; untuk surat-surat berharga yang tidak aktif, saat tidak ada penawaran, yang digunakan ialah harga penawaran terakhir; untuk surat berharga yang tidak terdaftar di bursa, nilai pasar ditentukan oleh penjualan terakhir atau ditentukan oleh lembaga penilai; nilai pasar secara terus-menerus berfluktuasi ketika ada berita-berita hangat dan akan sering berubah sepanjang hari."
866,nilai patokan/check rate,nilai yang digunakan sebagai patokan dalam perdagangan valuta asing untuk perhitungan berbagai jenis transaksi valuta asing.
867,nilai realisasi/realization value,"jumlah penerimaan hasil penjualan suatu barang yang nilainya belum tentu sama dengan nilai nominal, nilai buku, dan sebagainya."
868,nilai tambah/value added,"selisih lebih antara harga jual barang dan harga beli bahan baku, bahan penolong, suku cadang, dan jasa, yang dipergunakan untuk menghasilkan barang itu."
869,nilai temuan pemeriksaan,"besar jumlah uang dalam temuan pemeriksaan yang berupa : (1) kesalahan pembukuan/pencatatan, (2) kekurangan penerimaan negara/daerah, (3) ketidakhematan (ketidakekonomisan) dalam pelaksanaan suatu kegiatan, (4) ketidakefisienan dan/atau ketidakefektifan pelaksanaan suatu kegiatan, dan (5) kerugian negara/daerah."
870,nilai tukar/exchange rate,"nilai tukar satuan uang suatu negara terhadap negara lain; nilai tukar dipengaruhi oleh beberapa faktor, seperti tingkat suku bunga dalam negeri, tingkat inflasi, dan intervensi bank sentral terhadap pasar uang jika diperlukan sehingga senantiasa berubah."
871,nilai/value,daya tukar suatu barang atau jasa untuk memperoleh barang atau jasa lain yang diukur secara kuantitatif dengan jumlah satuan barang atau uang.
872,nominee shareholder/pemegang saham untuk orang lain/pemegang saham boneka,"pemegang saham perusahaan yang sesungguhnya tidak mempunyai kepentingan atau mendapatkan keuntungan darinya, melainkan hanyalah untuk kepentingan orang lain."
873,non acceptance/menolak menerima,hak pembeli untuk menolak barang karena tidak sesuai dengan apa yang telah disyaratkan dalam perjanjian; suatu kegagalan atau penolakan oleh tertarik untuk membayar atau mengaksep suatu wesel yang ditarik oleh seorang penarik.
874,non-performance/wanprestasi/ingkar janji,suatu kondisi dalam hal seseorang tidak memenuhi kewajibannya untuk melakukan sesuatu sesuai dengan perjanjian yang dibuatnya; kegagalan seseorang untuk mematuhi isi perjanjian yang dibuatnya.
875,non-revolving credit/kredit tak berulang,kredit yang setelah satu transaksi selesai tidak dapat digunakan untuk transaksi berikutnya.
876,nota debit/debit ticket,"nota untuk mencatat suatu transaksi debit dalam pembukuan, seperti pinjaman."
877,nota hasil pemeriksaan,catatan ringkas sebagai pengantar hasil pemeriksaan BPK dalam satu semester.
878,"nota kredit/credit ticket, credit advise","nota dari bank kepada nasabahnya yang memberitahukan bahwa sejumlah dana telah dikreditkan ke dalam rekening nasabah yang bersangkutan; memo pembukuan untuk suatu transaksi kredit, misalnya setoran giro atau tabungan."
879,notarial document/akta notaris,akta otentik atau dokumen hukum yang dibuat oleh notaris publik.
880,notaris/notary public,"pejabat yang berwenang membuat akta autentik, kecuali yang pembuatannya ditugaskan kepada pejabat lain; misalnya, akta kelahiran dibuat oleh pegawai pencataan sipil dan akta jual-beli tanah oleh Pejabat Pembuat Akta Tanah (PPAT)."
881,note payable,"wesel bayar, janji tertulis tanpa syarat dari satu pihak untuk membayar sejumlah uang pada tanggal tertentu kepada pihak lain dengan mencantumkan tingkat bunga tertentu."
882,note receivable,"wesel tagih, janji tertulis dari pihak lain untuk membayar sejumlah uang pada tanggal tertentu dengan mencantumkan tingkat bunganya."
883,notes to financial statement,catatan pada laporan keuangan.
884,notice of dishonor,berita penolakan; surat tagihan membayar tunggakkan.
885,notice of withdrawal,beri tahu - pemberitahuan penarikan.
886,notification,"beri tahu - pemberitahuan keuangan; pemberitahuan, pengumuman."
887,notulen,"catatan rapat, notulen, risalah pertemuan."
888,novasi/novation/pembaruan utang,pembuatan suatu perjanjian utang-piutang baru dengan menghapuskan perjanjian lama karena perubahan objek dan/atau pihak-pihak yang bersangkutan (debitur kredit).
889,nul and void,"1. batal mutlak; 2. kondisi suatu perjanjian yang batal demi hukum, tidak sah; tidak menimbulkan akibat hokum; 3. tidak sah, tidak berharga; 4. batal; tidak sah; tidak mempunyai akibat-akibat hukum karena tidak memenuhi persayaratan undang-undang atau hukum."
890,nullification,"suatu tindakan membatalkan suatu perjanjian; pembatalan, pernyataan suatu perbuatan hukum menjadi tidak sah."
891,obligasi atas unjuk/bearer bond,obligasi yang dibayarkan kepada pembawa walaupun nama pembawa tersebut tidak tercatat pada buku perusahaan penerbit obligasi tersebut.
892,obligasi boleh alih/negotiable bond,obligasi yang dapat dialihkan kepemilikannya dari pemagang pertama kepada pihak lain berdasarkan negosiasi.
893,obligasi bunga/interest bond,obligasi yang diterbitkan oleh perusahaan atau organisasi tertentu karena kekurangan uang tunai untuk membayar bunga obligasi lain yang telah diterbitkan sebelumnya.
894,obligasi definitif/definnitive bond,obligasi yang dikeluarkan sebagai pengganti obligasi sementara.
895,obligasi eksternal/external bond,"obligasi yang diterbitkan oleh suatu negara, dijual di negara lain, dan dibayar dalam mata uang negara yang bersangkutan (negara lain)."
896,obligasi hipotek/mortgage bond,penerbitan obligasi yang dijamin dengan hipotek atas properti milik penerbit; pernyataan ini dimuat dalam akta notarial dan disampaikan kepada pemegang obligasi.
897,obligasi kewajiban/obligation bond,jenis obligasi hipotek dengan nilai nominal lebih besar daripada nilai properti yang dijadikan jaminannya; dalam obligasi kewajiban ada kompensasi bagi yang memberikan pinjaman untuk nilai yang melebihi nilai hipotek.
898,obligasi kollateral/collateral bond,obligasi dengan jaminan berupa saham atau obligasi dari perusahaan lain.
899,obligasi pasif/passive bond,"obligasi tanpa bunga, tetapi dengan hak atas pembagian laba."
900,obligasi pemerintah/consolidotie lening,"pinjaman jangka panjang, berupa penerbitan obligasi oleh pemerintah untuk melunasi utang."
901,obligasi pendapatan/income bond,obligasi yang bunganya dibayar jika perusahaan bersangkutan memperoleh laba; bunga tersebut lazimnya dibayar mendahului pembayaran dividen kepada pemegang saham.
902,obligasi sementara/interim bond,sertifikat sementara yang dikeluarkan sebagai pengganti obligasi definitif yang akan dikeluarkan dan dapat ditukarkan pada saat obligasi tersebut diterbitkan.
903,obligasi terdaftar/registered bond,obligasi yang nama pemiliknya tercantum pada obligasi tersebut dan terdaftar pada emiten dan hanya dapat dipindahtangankan kepada pemilik baru jika diendos oleh pemilik yang terdaftar atau yang dikuasakan; suatu obligasi yang hanya didaftarkan untuk pokoknya saja (tidak untuk bunganya) dinamakan obligasi kupon terdaftar; obligasi yang tidak didaftarkan dinamakan obligasi atas unjuk/pembawa; obligasi kupon adalah obligasi yang diterbitkan dengan sejumlah kupon yang akan ditagihkan kepada penerbit atau agen pembayar saat jatuh tempo pembayaran bunga atau pokoknya; obligasi atas unjuk merupakan instrumen yang dapat diperdagangkan dan secara hukum tidak memerlukan endosen.
904,obligasi terendos/endorsed bond,obligasi yang diperkuat perusahaan lain dengan tanggung jawab penuh atas pembayaran kembali.
905,obligasi terjamin/blanket bond,obligasi yang dijamin dengan kekayaan tertentu dari pihak yang mengeluarkannya obligasi yang menjaga kemungkinan kerugian akibat penyimpangan penggunaan dana masyarakat oleh pejabatnya.
906,obligasi terkonversi/convertible bond,obligasi yang di dalamnya tercantum persyaratan dapat ditukarkan dengan kepemilikan saham atas permintaan pemiliknya.
907,obligasi/obligation/bond,"dokumen bermeterai yang menyatakan bahwa penerbitnya akan membayar kembali utang pokoknya pada waktu tertentu, dan secara berkala akan membayar kupon kepada pemegang obligasi; biasanya, obligasi diikat dengan suatu jaminan yang dapat dijual untuk melunasi klaim jika emiten gagal membayar kupon dan pokok pada saat jatuh tempo."
908,obligation/perikatan,"hubungan hukum antara dua pihak berdasarkan mana pihak yang satu berhak menuntut sesuatu hal dari pihak yang lain, dan pihak lain tersebut berkewajiban untuk memenuhi tuntutan itu."
909,obligator,"seseorang atau pihak yang mempunyai kewajiban berdasarkan ikatan hukum untuk membayar kembali utang atau pinjamannya kepada pihak yang telah memberikan pinjaman kepadanya, termasuk bunga, apabila utang atau pinjaman tersebut jatuh tempo, misalnya emiten obligasi, peminjam uang dari bank atau sumber lain, atau pelanggan kredit dari suatu pemasok atau pengecer bisnis."
910,obligee,"kreditur, pemberi pinjaman, orang terhadap siapa kewajiban utang harus dibayar."
911,obligor,"debitur, orang yang bertanggung jawab harus memenuhi kewajiban utangnya."
912,obyek pemeriksaan,"proyek, program, kegiatan, laporan keuangan dari suatu entitas yang menjadi sasaran pemeriksaan."
913,off balance sheet,rekening administratif.
914,off balance sheet transaction,transaksi rekening administratif.
915,offer and acceptance/penawaran dan penerimaan,"prinsip dalam hukum perjanjian menurut sistem Common Law, yaitu bahwa suatu perjanjian lahir dengan terjadinya kesepakatan atau pertemuan antara penawaran dan permintaan; penawaran diajukan oleh salah satu pihak yang kemudian diterima oleh pihak yang lain."
916,offer/penawaran,"salah satu unsur untuk terbentuknya suatu perjanjian, yaitu penawaran dari pihak penawar kepada pihak lain untuk membuat perjanjian dengannya; apabila penawaran ini diterima, maka terjadilah perjanjian."
917,offeree/pihak kepada siapa penawaran ditujukan,"pihak dalam satu kontrak yang menjadi sasaran atau tujuan penawaran yang dilakukan oleh pihak lain, apabila penawaran itu diterima oleh pihak ini maka tercapailah kesepakatan yang melahirkan kontrak."
918,offset/opset,suatu pengurangan; gugatan atau tuntutan balik; istilah ini berarti juga sebagai tindakan kompensasi terhadap suatu tindakan lain.
919,offshore loan/pinjaman luar negeri,"pinjaman atau kredit yang berasal dari sumber dana atau donatur luar negeri, misalnya bank atau negara asing."
920,oligopoli/oligopoly,"situasi pasar dengan sejumlah kecil perusahaan melakukan kegiatan penjualan barang dan/atau jasa tertentu, mengendalikan penawaran pasar dan barang dan/atau jasa tertentu tersebut."
921,onrechtmatig,bertentangan dengan hukum.
922,onrechtmatige daad,perbuatan yang bertentangan dengan hukum.
923,onrechtmatige overheidsdaad,"perbuatan melawan hukum oleh penguasa; penguasa dapat melakukan perbuatan melawan hukum apabila dalam melaksanakan tugas pemerintahan terbukti telah: (1) menyalahgunakan wewenang untuk tujuan lai daripada yang seharusnya, (2) menyalahgunakan kekuasaan, (3) menyalahgunakan hak."
924,onteigening,"pencabutan hak milik, penyitaan atas suatu hak kebendaan."
925,open bid/lelang terbuka,"suatu penawaran terbuka atau undangan lelang biasanya berupa tawaran untuk membangun suatu proyek, dalam hal para peminat harus bersaing untuk memenangkan persaingan itu."
926,open market credit,pasar kredit terbuka.
927,open market rate,tingkat bunga pasar terbuka.
928,open policy,polis terbuka.
929,open price term/kondisi harga terbuka,"suatu perjanjian jual-beli dalam hal para pihak setuju untuk tidak menentukan harga barang secara pasti, atau harga barang dibiarkan terbuka."
930,open staande post,pos terbuka.
931,open-end contract/kontrak terbuka,suatu perjanjian dalam hal pembeli dibolehkan untuk melakukan pembelian setelah melampaui batas waktu tertentu tanpa perubahan harga atau persyaratannya.
932,open-end credit,kredit terbuka.
933,open-end lease/sewa guna berbuka,jenis sewa guna usaha dalam hal mana pihak peminjam (lesi) berhak memilih untuk memiliki obyek sewa guna usaha yang bersangkutan dengan syarat ia harus membayar sejumlah uang tambahan berdasarkan nilai atau harga obyek sewa guna saat hendak dikembalikan kepada pemilik (lesor).
934,open-ended credit,fasilitas kredit nirtenggat.
935,operating assets,harta usaha.
936,operating expenses,biaya operasional.
937,operating revenues,dapat - pendapatan operasional.
938,operational risk,risiko operasional.
